[00:08] スタートしました。マテンローコマンド
[00:09] いいスタートを切りました。ドラゴン
[00:11] テイラーもいいスタートを切りました。
[00:13] さあ、まだ芝の上先行争い。徐々に足元が
[00:16] ダートへと変わってくるところでマテロー
[00:18] コマンド間5番のさあ、ドンインザムード
[00:21] も先行体勢を取りました。連れて上がって
[00:23] いったのか9番のインアパレス。外にいる
[00:24] のが名勝八郎。5番手の18番の
[00:26] ベルジロネットという体勢です。その後外
[00:28] からドラゴンテイラー内から半分差若干手
[00:32] が動いて7番ダノンフィーゴついそうです
[00:33] 。その後方からモドプリウムが外ちはなく
[00:36] 6番のKリーがついそうです。その後は
[00:38] 少しバ軍が開きました。12番のバトル
[00:40] クライ。あとはゼッケ2番のジュン
[00:41] ウィンダムが追走して後方2頭はノーブル
[00:43] ロジャーと10番のトリビオンボーイと
[00:45] いう体系だ。600は34秒1。各馬これ
[00:47] から3コーナーをカーブしていきます。
[00:49] 先行争いから逃げているのは11番の現在
[00:51] 名称八郎になっています。2番手の1
[00:53] ドン銀ンザムード。2番手に控えて3番手
[00:55] 。これを見るようにマ天ローコマンドが
[00:57] 追走しております。そしてその後ですが、
[00:59] 間9番のインアパレス。そして内から9番
[01:01] のインアパレス。そして内からゼッケン8
[01:03] 番のベルジョネット。さあ、第4コーナー
[01:05] カーブから直線構成へ向かいました。先頭
[01:07] ですが粘り込みを図ります。名勝八先頭だ
[01:09] 。名称八郎が先頭だ。2番手集団戦状態だ
[01:12] が現在ドンインザムード。そして外から
[01:14] 魔天ローコマンドがじわりじわりと坂を
[01:16] 駆け上がる。間もなく坂を登り切る。残り
[01:18] 200を通過した。さあ、先頭はわずかに
[01:21] 名勝八郎。名勝八路。しかし今度は
[01:23] 魔天ローコマンド。魔天ローコマンドが
[01:25] 追い比べに押し込んで今度は一気に先頭か
[01:26] 。名勝八郎2番手先頭は14番のマテロー
[01:30] コマンドマテローコマンドゴリ2着11番
[01:34] 名称八郎3着5番ドンインザムードあとは
[01:38] 9番のインアパレスが続いてい
