[00:01] 最後に15番デビッドバローズが誘導され
[00:03] て収まりました。
[00:08] スタートしました。3番のピースと5番の
[00:13] イガッチ。そして8番のKセラ。先段この
[00:17] 3頭が並んできますがKセナ豊かが出てき
[00:21] ました。そして外からは11番のジュター
[00:23] です。あとは12番のエコロリノス15番
[00:26] のデビッドバローズ。この1角に14番の
[00:29] フィリウスと5番の胃ガッチ一旦中段の
[00:32] あたりに位置を取っています。その後に4
[00:34] 番のマジックサンズこれから1コーナー。
[00:36] この一角に6番サンストックトンと10番
[00:38] ケリフレッドアスクです。1コーナーを
[00:40] 回って先頭は8番愛セナリード1馬半から
[00:44] 2馬取っています。2番手の位に11番の
[00:47] ジュタこのインコースの3番手3番ピース
[00:51] リュック2コーナーカーブあとは4番手
[00:52] 12番エコロリノスこの一角に5番の
[00:55] イガチが続いています。2コーナーを回っ
[00:57] て間もなく向こう場面。あとは15番
[00:59] デビッドバローズ。14番フィリウス中段
[01:01] インコースに4番のマジックサンズです。
[01:03] その後からは10番のケリフレッスク。
[01:05] 後ろから56番手。あとは6番のサン
[01:08] ストックトン7番チャックネイト
[01:09] 1000mは58秒後で流れています。
[01:13] 34馬シ後ろに1番バルナバ、2番
[01:15] ファウストラーゼン、9番オニャンコポン
[01:17] 。最高峰は13番の荒田です。800を
[01:21] 切りました。3コーナーへと向かっていき
[01:23] ます。先頭は8番のKセナリード1審半
[01:26] ほど2番手の位に11番のジュタイン
[01:28] コースに3番のピースリュック外から12
[01:31] 番のエコロディノスこの一角に5番の
[01:33] イガッチ外から動いてきています。2番の
[01:36] ファウトラーゼン中段から先段目けて
[01:38] 上がっていく。この一角25番デビッド
[01:40] バローストフィリウスさあ4コーナー8番
[01:42] Kサナ先頭2番手いのストに
[01:44] ファウストラーゼ間からは11番のジ田内
[01:46] から3番ピース4コーナーカーブ8番K
[01:50] 捕まえに行くファウストラーゼン直線
[01:51] コースが入った先頭愛セラ外から
[01:53] 並びかけるファウストラーズ内ち3番の
[01:55] ピースリック進路を開いているか外から2
[01:57] 番のファウストラーズイン先頭に変わった
[01:59] 内ちで
[02:00] ースアンリック外から10番の
[02:02] ケリフレットアスクが追い込んでくるが2
[02:04] 番のファウストラーゼ林
[02:06] だゴール小林です。
