[00:03] 収まります。ゲートイン完了です。か員が離れました。
[00:09] スタートしました。若干
[00:11] 12
[00:11] 番ローベルクランツ後ろからになりましたがすぐに巻き返します。スタンド前まず
[00:15] 8番のディールメーカー11
[00:17] 番のコロナドブリッジやはり出ていきます。前
[00:19] 2頭3番手に5番パーティー内から1
[00:22] 番ジボヤージュ先段です。これを追って
[00:24] 14番スカイスプレンダー5
[00:25] 番手外目を取りました。その後ろ6番
[00:28] コルテオソレイユ3番ジーネキング10番
[00:30] ガリレアインコース2番クエリ目中段で
[00:33] 続いていきました。1コーナーから2
[00:35] コーナー8番ディールメーカーが今日は
[00:37] 逃げていきます。1馬シ5番のリッツ
[00:39] パーティーは2番手。外並んだ11番
[00:42] コロナドブリッジ前3頭です。4番手イン
[00:44] コース1番ルージボヤージュその後6番
[00:46] コルテオレイユ先段後ろ外14番スカイ
[00:49] スプレンダー無効上面へと出ていきます。
[00:51] 差がなく内ちに3番ジーネキング4番の4
[00:54] 番サ門車両外は10番ガリアが並んでいっ
[00:57] ています。残り1000m2した中段外め
[01:00] 13番の佐野グレーター内は2番区井
[01:03] さらには16番スペルチェ15番
[01:05] バドリナート中段後方で固まっています
[01:08] 後方から7番の湘南ガルフの追走
[01:10] 1000m58秒9インコースに入りまし
[01:13] た9番のキンググローリー後方23投目
[01:16] 1番後ろが12番ローベルクランツになっ
[01:18] ています。ほぼ1段です。600を切って
[01:21] 34コーナー中間ディールメーカーが先頭
[01:24] ですが、リツパーティーが並びかけに行っ
[01:26] て前にと3番手外に11番のコロナド
[01:29] ブリッジ4コーナーのカーブ外から動いて
[01:31] いく10番のガリ前は広がって4コーナー
[01:34] のカーブへ5番手集団インコースから
[01:36] ルージボヤージュバ軍の中コルテオ
[01:38] ソレイブで直線に向かいました先頭を粘る
[01:40] 8番ディールメーカー5番のリツ
[01:42] パーティーが捕まえに行く残り200を
[01:44] 切りました外から佐ノログレーターが一気
[01:46] の足で追い込んで内を狙っていく帰り目
[01:47] ですが先頭わずかに8番のディール
[01:49] メーカー13番佐のグレーターが一気に
[01:52] 捉える。佐野グレーター田辺ゴール。2番
[01:56] 手は8番のティールメーカー守ったか。3
[01:58] 番手は1戦に広がって15番マドリナート
[02:01] 5番リツパーティーそして10番ガリア。
[02:04] 外は4番サイモンシリオ3着争いずらっと
[02:07] 広がりました。
