[00:01] 向こう場面ゲートイン順調。14番メタル
[00:03] スピード収まってゲートインが終わりまし
[00:05] た。
[00:08] スタートしました。ほぼ揃って出ました。
[00:12] まず外目から10番クランフォード出て
[00:15] 逃げていきます。ィード1馬シ1番ファー
[00:18] 内からさらには5番レオン2番手3番手
[00:21] から追っていきます。4番手、外12番の
[00:24] ランスオブカオス、そして6番のシリウス
[00:26] コルト先段から押して外14番メタル
[00:28] スピード上がっていきます。1場新半差
[00:31] 中段インコースに2番ジュタ外は9番
[00:33] サンダーストラック、4番マテロスカイ
[00:36] 中段後方外目8番ダノンセンチュリーこの
[00:38] うちに3番アンパルー並んでいっています
[00:40] 。外回りの3コーナーを目指して外から
[00:43] 11番ドロップオブライトが上がっていっ
[00:44] て600m34秒0です。3コーナー
[00:47] カーブ後ろ2等7番エルトンバローズ、
[00:50] 13番フエナオンダという対列になってい
[00:52] ます。
[00:55] 外回りの4コーナーに向かってペースを
[00:57] 握った10番クランフォードリードを1
[00:59] 馬シメタルスピードが外の2番手。4
[01:01] コーナーカーブ外回りの長いストレートに
[01:04] 出てきました。インコースから
[01:05] ファーベントや外に持ち出して青い帽子が
[01:09] 2つ。レリマリオンシリウスコルト
[01:12] その外に持ち出してサンダーストラック。
[01:15] 後方1番外にダノンセンチュリー。さらに
[01:17] は11番ドロップオブライト。内回りとの
[01:20] 合流点を過ぎました。先頭粘る10番
[01:22] クランフォード。内を狙って3番
[01:24] アンパルーが一気に上がってくる。前に
[01:26] 迫ってきたその外からは1番ファーベント
[01:28] 。その後ブエナオンダエルトンバローズも
[01:30] 追い込んできて200を切りました。最内
[01:32] から抜け出る。先頭3番アンパル2馬シ3
[01:36] 馬シリー粘るクランフォード1番
[01:38] ファーベント2番手争い突き離す
[01:40] アンパルー解消ゴールイン2番手どうか
[01:42] 10番クランフォードそして1番
[01:44] ファーメント最後の最後追い込んだ13番
[01:47] ウェラオンダ2番抵抗の争い広がりましは
