[00:04] 入ってゲート入り完了。
[00:08] スタートしました。揃ったスタートを切り
[00:11] ましたが出てから4番ナチュラルライズは
[00:13] 最後峰からとなっています。さあスタンド
[00:15] 前出ていくのは8番ウェイワードアクト。
[00:18] 内は2番レボレットは2番手になった。
[00:20] あとは9番昼野ハンブルク。そして11番
[00:22] ペリエールは3番手の外め。1コーナーを
[00:25] 回っていきます。さあ、短期でいった8番
[00:28] ウェイワードアクト。リードは2馬シほど
[00:31] 2番手9番の昼野ハンブルク3番手打ち2
[00:34] 番レボレットに並んで11番ペリエールは
[00:37] 4番手前から5投目5番帝王パスワード
[00:42] 2コーナーを回って向こう場面出ていく
[00:44] ところさらには10番オメガネス2馬シ
[00:46] 後方に1番アクションプランです。さには
[00:48] 6番のバルサーシャル2後ろに外を通って
[00:52] 7番帝王ドレフォン内ちは3番
[00:54] ルクソウールカフェ最後峰に4番の
[00:57] ナチュラルライズの展開
[01:00] さあ2番のレボントレットはちょっと交代
[01:01] していきましたがこれから3コーの相手
[01:03] 向かっていきます。前は10番オメガ
[01:06] ギネスがかわして先頭に変わっていく。
[01:08] リードは1馬シン半で2番手になった8番
[01:10] のウェイワードアクト100059秒8の
[01:13] 通過。前から3投目。外を通って9番昼野
[01:16] ハンブルク。前3頭広がっていった。その
[01:19] 後ろ4番手11番ペリエール。前4頭ほぼ
[01:22] 1段でその外から3番ルクソールカフェも
[01:24] じわりじわりと少し淡々上がっていった。
[01:26] あと400m4コーナーのカーブ直線の
[01:30] 攻防に入っていきます。前は粘っている8
[01:33] 番ウェイワードアクト。そして9番ヒルノ
[01:35] ハンブルク11番ペリエール外は3番
[01:37] ルクソールカフェルクソールカフェが一気
[01:39] に勝負を決闘に変わった内は11番
[01:42] ペリエール2番手頑張っていますが後方
[01:43] からは5番帝王パスワード3番手に上がっ
[01:46] て前の2頭を追っているが先頭3番の
[01:48] ルクソールカフェ2突き離したルクソール
[01:51] カフェ復活の今ゴール2着は11番
[01:53] ペリエール3着5番の帝王パスワまだ
