[00:00] さあ、嵐の今年のグランプリです。親子
[00:04] 連覇、年明初戦のグランプリ制覇、そして
[00:06] 春コバ3巻、いずれおらぬ大記録。さあ、
[00:10] 記録と記憶に残るレースを楽しみましょう
[00:12] 。グランプリの幕が上がる。令和8年宝塚
[00:15] 記念スタートを切った。ミステリーウェイ
[00:17] スタートを切った。まずは先行争い。外の
[00:19] ピンクボ2つにご注目です。大歓成です。
[00:22] まずは名勝タバル行くか。コスモランダ
[00:25] 行った。そして内ち三国にインスパイア。
[00:28] まずはシュガー君の方も前の方に行くが
[00:30] 名勝タバルはいけるのか。そして後方の方
[00:34] 名称タバルを見るように赤い防子
[00:36] 黒アジノールそして内ちの方から
[00:37] ミュージアンマイルコスモランダが先定を
[00:40] 取りました。名バルは2番手に控えた
[00:42] シガー君マイネルエンペラーそして
[00:44] 黒ワールは5番手でゴール前を通過して
[00:46] いる。名勝田は逃げられません。シュガー
[00:49] 君3番手。そしてここにいた
[00:51] 黒ワディノール。そのうちぴったりマーク
[00:52] するようにミュージアムマイルです。この
[00:55] 後ろレガレイラは後方。そしてビザンチン
[00:58] ドリーム最後峰スティンガークラスともう
[01:00] 1頭高野デュードダノンデサイルは
[01:02] ちょうどバ軍の中段です。さあバック
[01:04] ストレッチに入っていきます。先頭は
[01:06] コスモキランダ4馬シのリード。まだ雨が
[01:08] 外しくなってきました。2番手瞑想タバル
[01:11] です。3番手マイネルエンプラー内から
[01:13] 滋ガー君。さあそして春コバ3回へ黒ワル
[01:16] のオールがいます。1分0秒3。スタート
[01:18] してから1000mは1分0秒3です。内
[01:21] 2番のミュージアムマイル外目を空いて
[01:23] ジンテイクあるいは三国にインスパイア
[01:25] ファミリータイムはここにいました。それ
[01:27] から18番のミステリーベイ逃げられませ
[01:29] ん。レガレイラはこの位置です。相内から
[01:31] ダノンデサイルダノンデサイルデガレイラ
[01:33] 同じような位置から行っているその後ろ
[01:35] マインユニバースビザンチントリーム新
[01:37] エンペラーそしてセイクアハート方2頭は
[01:40] スティンガークラス高野リードさあ第4
[01:42] コーナーだ名勝田原は短期の2番手だ先頭
[01:45] はコスモクランダそして2番手に名称
[01:47] タバル3番手マイネルエンプラー道を通っ
[01:50] て5番の黒マディノールそしてジンテイク
[01:53] ミュージアムマイルが来ているぞそして
[01:55] その後ろから3番のシガー君ファミリー
[01:58] タイム外からすっと上がってくる
[02:00] レガレイラ一緒ブザチンリムゴルを外した
[02:02] 1番ダノンさり戸崎先頭はまだここで
[02:05] 黄色い星切んだこれはハ乱なのかそして外
[02:09] から名勝タバルが追い込んでそして1番外
[02:11] は黒先頭で名勝タバルに変わったさあ今年
[02:16] も見せると2枚越し粘る頑張る名称タバル
[02:19] しかし外から黒ワノールも追い込んだ
[02:21] そして大速ダノンでサルだ名勝タバルだ
[02:24] そして黒ワノール黒ル名バル
[02:30] 史上初親子連覇だ。名称たる。今年も
[02:35] タバルだ。また
[02:37] 今年も炸裂豊かマジック
[02:41] 恵の雨でした。タバルにとっては恵の雨。
[02:45] そしてクロアディノールダノンデル。
[02:48] 見応えのある直線。
