[00:03] さあ、ゲートインが終わって
[00:08] スタートしました。揃ったスタートを切りましたが、若干
[00:12] 8番クリスマスパレード、そして12
[00:14] 番リカンカブールは後方。まずはスタンド前出ていくのは
[00:18] 11番イスカ。うちは3番湘南マグマ2頭
[00:21] を並んでそして13番バトルボーンは3番
[00:23] 手10番センツブラッド2番コントラ
[00:26] ポストその後ろ16番サボーナ
[00:29] 25番のヤマニンブークリアが行って内は
[00:31] 5番オーロラエゴール前を通過あとは4番
[00:35] スは中段後ろで1コーナーを回っていき
[00:37] ます。さあ、先手奪ったのは3番湘南
[00:40] マグマ。4馬シとリードを取って1
[00:42] コーナーから2コーナー。2番手は11番
[00:44] アスク内匠2番手になっています。内は2
[00:46] 番コントラポスト3番手。前から4投目
[00:49] 13番バトルボーンその後ろ10番の
[00:52] センツブラッド5番手で2コーナーを回っ
[00:54] ていきます。あとは16番サボーナ3馬神
[00:56] 後方に15番山人ブークリエ。
[00:58] として接近する4番からマティアノス。
[01:02] 向こう正面に出ていってうちは6
[01:04] 番マイネルモーンとさらには5番のオロラ
[01:06] X1000mの通過57秒8の通過
[01:10] 向こう上面の中ほを進んでその後ろですが
[01:14] 2馬に離れて1番ボーンディスレイそして
[01:16] 8番のクリスマスパレードその後ろから
[01:19] 14番オールナット9
[01:20] 番オニャンコポン内は12
[01:22] 番リカンカブール3橋離れて7
[01:24] 番メリオレム展開
[01:27] 3コーナーを回っていきますと
[01:29] 600前は3番湘南マグマ3馬シトリード
[01:32] を取って34コーナー中間11番アスクナ
[01:35] 田辺が動いていって前に並べようとしてい
[01:37] ます。34コーナー中間その後ろ10番
[01:40] センツブラッド内は2番コントラポスト
[01:42] そして6番マイネルモーンと16番
[01:44] サボーナ広がっていった第4コーナー
[01:46] カーブ最後の直線の攻防に向かっていき
[01:48] ます。前は11番アスク内匠3馬シト
[01:52] リードを取っている10番センツブラッド
[01:53] 6番マイネルモーンと6番マイネルモーン
[01:56] が並んで今度は先頭に変わるかあとは1番
[01:58] ボーンディスレイ内から9番の
[02:00] おにゃんコポンが3番手に上がる勢いだ前
[02:02] は11番のアナシ2馬シのリードアナイス
[02:05] 勝ゴ2着は6番前マイネルモント3着9番
[02:09] オニャンコポはい。
