[00:00] ルメール勝に近づいて
[00:05] 収まります。安田記念スタートしました。
[00:10] 扉はほぼ揃っています。さあ、どの馬が
[00:12] 先手か。13番セ運ハーレスを制して11
[00:15] 番ワールゼドやはり出ていきました。内
[00:18] から追って4番シックスペンス2番手に
[00:19] 上がります。3番手に13番セ運ハーレス
[00:22] が行ってその後ろは6番ステレンボッシュ
[00:24] 2番のロングラン内から1番のレベン
[00:26] スティール行為のインコースです。外に
[00:27] 16番パンザタワーが続いていきました。
[00:30] 1にした内ちに3番オフトレール、外は5
[00:32] 番桜ジール。1にした中段に単独14番
[00:35] ガイアフォースが行っています。2馬シが
[00:36] 相手15番ドラゴンブースト内は8番
[00:38] シャンパンカラー中段後方です。23馬シ
[00:41] が相手12番シリーコルト内ちは7番
[00:43] スズハロームせ600秒後で通過していき
[00:47] ました。後ろから3投目17番の
[00:50] トロバトレそして後方2頭9番の
[00:52] ウォーターリヒト10番ルクソールカフェ
[00:54] という順番になっています。
[00:57] 3コーナーをカーブしていって単独抜け
[00:59] ました。11番ワールズエンドリード3
[01:01] 馬シです。2番手には4番シックスペンツ
[01:03] 4コーナーへと向かっていきます。西運
[01:05] ハーレスその後ろインコースからは
[01:07] レーレンスティールロングランにパンジャ
[01:09] タワーその後ろ中段外止めにガイア
[01:11] フォースバグなの中かステレンボシ直線
[01:13] コースへ向かってきます。逃げる11番の
[01:15] ワールゼドバのサムどころでリーロが1馬
[01:17] に残り400を切ってこの外に持ち出した
[01:19] シックスペンスハーレスが追ってくるその
[01:22] 後ろからはレーレンスティール内から
[01:24] オフトレール外はパンジャタワー中段外
[01:25] からガイアフォースその後ろステレン
[01:27] ボッシュドラゴンブースト大外は
[01:28] トロバトーレ残り200を切りました先頭
[01:31] 粘る11番ワールゼド捕まえに行くセ運
[01:33] ハーレス間から4番のシックスペン3差が
[01:36] なくなってくるが外からガイアフォース
[01:37] 持ってくる真ん中から4番のシックス
[01:39] ペンスシックスペンスシックスペンス
[01:41] ゴールシックスペンスに残しているか。は
[01:46] 11番ワールゼド外から14
[01:48] 番ガイアフォース最後に差を詰めてさらには
[01:50] 16番パンジャタワー13番センハーです
[01:53] 。
