[00:01] Mズビ銀18番ゲートに入ります。第93
[00:06] 回日本ダービースタートしました。揃い
[00:09] ました。揃った飛び出し18頭先行争い
[00:12] です。7番名称八光打ち押して2番マテロ
[00:16] ゲイルさらには12番アスクエジ原11番
[00:19] リアライズシリーズも前に行きました。
[00:21] 先段4頭1番ライヒードラーインコース5
[00:24] 番手。その後が6番コンジェスタス。13
[00:26] 番パントルナイフ。17番ロブチェンは
[00:29] その後ろのグループバ群の中を追走して
[00:32] いって18等1コーナーのカーブです。
[00:34] 手導権は7番名称8マイケルDが行きまし
[00:37] た。11番リアライズシリーズは外2番手
[00:40] 、インの3番手を取った1番ライヒスラー
[00:42] です。2コーナー4番手12番
[00:44] アスクエジ原ラ2番マテロゲイルその後の
[00:47] グループ3番ケントン外からは13番
[00:50] パントルナイーフ18番Mズビ銀バ軍の中
[00:52] に6番のコンジェスタス向こう場面に入っ
[00:55] ていきます。このバ軍を見ながら17番の
[00:57] ロブチェンです。先頭までは10馬近く
[00:59] 並んで16番のグリーンエナジー向こう
[01:02] 場面に入って4番アルトラムス15番
[01:04] フォルテアンジョロが差がなく続いてい
[01:06] ます。間もなくスタートしての1000m
[01:08] の通過は1分0秒7。ややゆったり目の
[01:12] ペースでしょうか。このペースを嫌ったか
[01:14] 5番のバスルが外からぐーンと上がって
[01:16] いきました。ロブチェン中段。その後16
[01:18] 番グリーンエナジー10番ジャスティン
[01:20] ビスタは4番アルトラムスが続いて14
[01:23] 番ゴーイントゥース
[01:25] スカイ15番フォルテアンジェロが入って
[01:27] います。あは9番のアウダーシア。現在
[01:29] 最後峰は8番の湘南ガルフで3コーナーの
[01:32] カーブに向かいます。残り1000m切り
[01:34] ました。先頭11番リアライズシリーズに
[01:37] 変わりました。つ村騎種強気に出ました。
[01:39] 先頭リードを2馬シ取って2番手に5番の
[01:42] バステールが上がって3番手は外17番
[01:44] 18番mズビーン内ちは7番の名称八5番
[01:47] 手12番のアスクエジ原です。
[01:49] アントルナイフライヒスアドラ少し
[01:51] ポジションが下がってその後ろ17番
[01:53] ロブチェン中段外めから今動としている
[01:56] 並んでいった6番コンジエスタス4
[01:58] コーナーカーブ直線コースに向きます。
[02:00] 11番リアライシリウスが先頭で直線
[02:03] コースに向かってきました。2番手
[02:04] 折り返して名称8あるいは5番のバス
[02:07] テール残り400を着て坂を登ってくる
[02:09] インコースからは1番ライヒスドラー外
[02:11] からは追い上げてくるパントルナイフ
[02:13] さらには17番のロブチェンが追い出しに
[02:15] 入っている先頭今度は入れ替わって5番の
[02:18] バステールか外から13番パントルナイフ
[02:20] 2番マテローゲイル追い込んでくる
[02:22] 200mを切っているさらには17番ロブ
[02:24] チェン来たパントルナイフバスールロブ
[02:27] チェンパントルナイフとロブチェンだロブ
[02:29] チェンパントルナイフ並んでゴール
[02:31] [大歓声]
[02:33] 最後坂を登ってからは2頭[叫び声]13
[02:36] 番パントルナフ17番ロブチェンJa.
