[00:08] スタートしました。スタンド前に出ての先行争い。外から
[00:12] 18番レーゼドラマ。間からは押して
[00:14] 7
[00:15] 番のトータルクラリティも出ていきます。
[00:16] 7番トータルクラリティと18
[00:18] 番のレーゼドラマ。この2
[00:19] 頭が群を引っ張ります。あと3番手GT
[00:22] アダマン内から3番村エハブ5番のエヒト
[00:24] ガイアメンテそれから17番の序盤に中段
[00:27] の外め14番のウエストナウが続きました
[00:29] 。あとは8番サフィラ内を通って1番前段
[00:33] ゴールの前を通過。2番タ野アビー3番
[00:35] コパノサントスは後方に控えています。外
[00:37] を通って16番ノーランサンライズそれ
[00:40] から15番の帝王。後方グループは金フラ
[00:43] 名古屋のケイズレブが後方から3投目。
[00:46] 10番マイネルメモリー。最後峰から13
[00:48] 番カエルムです。2コーナーのカーブ
[00:50] 緩やかに坂を登っていって7番のトータル
[00:53] クラティティが逃げる展開。残り1200
[00:55] 。2馬差18番のレイゼドラマ2番手。
[00:57] その後ろは4馬シ離れて単独の3番手に3
[01:00] 番の村エイハ枠スレチン入りました。あは
[01:03] 外からGTアダマン内を通って5番の
[01:05] エヒト6番ガイアメンテが続いて
[01:07] 1000mは59秒1というペースになり
[01:10] ました。6番のガイアメンテの外に17番
[01:14] の序盤が続いています。あは1番前段ハブ
[01:18] 8番のサフィラ中段グループ800切り
[01:20] ました。その後のグループ前中には2番の
[01:23] タノアビー外からは進出14番
[01:25] ウエストナウム3コーナーのカーブ内を
[01:27] 通って4番コパノサントスも1位を上げる
[01:28] 。それから16番ノーランサンライズ後方
[01:31] はおっとエヒトが下がってしまって外から
[01:33] 13番のカエルムが進出その後は10番の
[01:36] マイネルメモリー後方グループ11番
[01:38] 金フラ名古屋Kレーブ4コーナーのカーブ
[01:41] 帝王でる最高峰5番のFは止まりそうです
[01:44] 。4コーナーから直線に向くところ
[01:46] トータルクラリティ18番レーズドラマ2
[01:48] 頭を並んで直線に向きました。3番手
[01:50] 上がっていった6番ガイアメンテその外
[01:52] から3番のナブラインハブ狭いところ1番
[01:54] の前段ぶさその後ろに17番の序盤に混戦
[01:57] になった先頭は1番の前段ぶさだ全段
[02:00] 早ぶさ抜けたあとは17番の序盤に
[02:02] ガイアメンテ18番レゼドラ1番の前段
[02:05] はぶさ井学ぶゴール1番前段はぶさぶ
[02:10] です
[02:12] 1番前段は早ぶさ初めての重賞挑戦で小倉
[02:18] 記念制か。
