[00:03] スピードの限界を超えるアイビ
[00:05] サマーダッシュ。
[00:08] スタートしました。揃ったスタートを切っ
[00:11] ています。まずは1番ウイングレイテスト
[00:13] が出ていきますが4番カウリップ、そして
[00:15] 6番ピューロマジック、11番ロード
[00:17] トレール、13番TMスパーダ、そして
[00:19] 16番アメリカンステージ固まっています
[00:21] が6番ピューロマジックが前に出ていき
[00:23] ます。その後ろ17番ビッグシーザーが
[00:26] 行って、さらには10番エコロレジーナ。
[00:28] その後ろに2番のデュガが行って中段バ軍
[00:31] の中にいます。5番のベルギューンさらに
[00:34] はその後ろ12番ク白子14番
[00:37] ブーケファロスが行って7番バグラダス
[00:39] そして3番の三カって呼んでいい。その
[00:41] 後方に9番カウンターセブ15番
[00:44] 最後峰には8番のシュラフさあ残り200
[00:48] を迎えるところ前は6番ピューロマジック
[00:50] 連敗向かって先頭ださあ独走体勢に入った
[00:53] ピューロマジック先頭2馬シ3馬シリード
[00:55] を取っている2番手は4番カウスリップ
[00:57] 上がれるかうちは11番ロードトレール
[00:59] 連覇6番ピューロマジックゴレイ2着は
[01:02] 11番ロードトレール3着4番の
[01:04] カウリップ堂々と連覇達達せ
