[00:01] ロンドンガーズ13
[00:02] 番ゲートに促されます。収まってかかりが離れます。スタートしました。
[00:09] 10番のリアンモーニンが1
[00:11] 番いいスタートを切りました。そのままリアンモーニずかに先頭か。同枠
[00:15] 11番グレ外2番手内から接近各馬
[00:18] 3番瀬とあるいは5
[00:20] 番フェリチ田がってさらには
[00:22] 9番モージェンが単独2
[00:23] 番手に上がるかグレさらには13
[00:25] 番ンガーズとこの2
[00:26] 番手が大きな集団になりました。
[00:28] 直後に6番運水続いて外から上がる12番
[00:31] の大名ビッグボス800を切りました。
[00:34] やや遅れて2番の大震ドラゴン追走で7番
[00:37] 湘南カノアが中段の後ろです。あとは4番
[00:39] アルテクイーン3コーナーのカーブで8番
[00:41] クロリス後方2投目1番ダマスク最後峰
[00:43] です。600は34秒2で通過。34
[00:46] コーナー中間先手は10番のモーニリード
[00:49] 1馬11番シグレが2番手インの3番手9
[00:51] 番イージェン4コーナーカーブ13番
[00:54] ロンドンガールズ4番手400を切りまし
[00:56] た。これに8番のクロリスが接近して、5
[00:58] 番のフェリッチが接近していきます。4
[01:00] コーナーカーブ直線コースに向かってき
[01:02] ます。7枠2頭のアンモーニしぐれ2頭が
[01:04] 競り合ってこの2頭の間を9番の
[01:06] イモージェ200を切りました。外へ出し
[01:08] て5番のフェリチタがこの3頭に接近して
[01:10] いって後は2番の大震ドラゴンが追い上げ
[01:12] てくる。今度は5番のフェリチが先頭に
[01:14] 変わるか。9番イモージェン。
[01:15] イモージェンとフェリチ。この2頭の接戦
[01:17] だ。5番のフェリスタが並んでゴリ。
[01:19] わずかに5番のフェリチタか。
[01:22] 手を上げた横山和5番のフェリチ。
[01:26] ごます。
