[00:00] かりが離れます。中牝馬ステークス
[00:03] スタートが切られました。さあ、どの馬が
[00:06] 行くか。まずは先行争いVIPデイジ高
[00:08] スタート。それからテリオスラやはり
[00:10] 逃げるか。内からはブラウンダチェットも
[00:12] 高スタートを切っています。さあ、その
[00:15] 後ろ4番のミヤネーロが行って、それから
[00:17] 6番のヴァルキリーバース1番人気は4番
[00:20] 手につけています。外から上がっていった
[00:22] ルージュソリテールも前から行く。その
[00:24] 後ろホールネスがいて少し抑えてVI
[00:26] デイジ。それから間を終わって西のティア
[00:29] もその外11番のテレサがいます。内ち1
[00:32] 番マカナ、それから12番小金の空、3番
[00:34] 人気内ち2番のウイントワイライト、その
[00:37] 外にパラディレーがつけて、それから
[00:40] エステペンダ、その外16番セント
[00:42] メモリーズ。このような体勢で向こう場面
[00:44] から3コーナーへと各場向かっていきます
[00:46] 。先頭は関トイーストになりました。
[00:50] 関トバイストと浜中スるがこのレースを
[00:52] 引っ張ります。そして2番手には
[00:54] テリオスラ、さらには15番ルージュ
[00:56] ソリテールがつけています。リードは3馬
[00:59] から4馬大きくリードを取って赤関トば
[01:01] イスと練子電波へ向けて現在手きの
[01:04] 向こう側を通過。大きくリードを取って
[01:06] いる。前半1000m58.8秒でいき
[01:09] ました。どこまで足を残すかイースト。
[01:12] そして2番手15番ルージソリテール。
[01:14] 1番人気のヴァルキリーバースは現在中段
[01:17] 前から4投目、5投目あたりです。さあ、
[01:19] 直線抜きました。関トバイースト逃げる。
[01:22] それを追って内からブラウンラチェット
[01:24] 鞭知を入れてルージソリテールさらには
[01:26] 10番のホールデスも来ているが鞭を入れ
[01:28] て追いかけてくるがセトバイストまだ
[01:30] 頑張っている内から2頭さらにはブラウン
[01:33] ラジェットも来ているまだ逃げ粘っている
[01:35] セクトバイーストこのままできるか残り
[01:37] 200を切りましたセトバイスト逃げる内
[01:40] からミアネーロさには上に大12番の
[01:44] しかしイースト逃げ切るかイースト関イ連
[01:53] セトイーストが普中馬ステークス連覇達成となりました。
[01:58] 安城浜中すぐ
