[00:04] 第2回白サぎステークス
[00:08] スタートしました。バラっとしたスタート
[00:11] 。まずは16番スリルミニオン高スタート
[00:13] を切っていますが、13番メタルスピード
[00:15] 。そして6番シンフォエバー。内ちは1番
[00:17] のスマートバイスと広がって、あとは18
[00:19] 番タのエルピータが続いて、12番か
[00:22] クラシ、そして15番湘南アデイブ。内は
[00:24] 5番ファーベントが続いています。中段に
[00:26] は10番エルトンバローズ。バ軍の内側2
[00:28] 番のファインラインが続いてさらには4番
[00:31] 8番のサイルーン。そして9番ファンダム
[00:34] 。その後ろから7番キープカルムが行って
[00:36] 14番ミニトランザット。バ軍の中に8番
[00:39] のサイルーンが行って4番ブエナオン田
[00:42] 内ち3番名称慎た後は11番エコロアルバ
[00:44] に17番のスイープアワーズ600は34
[00:48] 秒63コーナーから4コーナー
[00:52] 前は先手奪い切った13番メタルスピード
[00:54] 800を切ってリードは1馬シンほど16
[00:56] 番スリールミニオンが2番手で3番手は
[00:58] 18番の田野LPダそして外を通って15
[01:01] 番湘南アデイブこれから4コーナーに
[01:03] 向かっていきます。うちは1番スマート
[01:05] ワイズであと600番かクラシュそして
[01:09] 10番エルトンバローズ内ちは5番
[01:11] ファーベント第4コーナーカーブ最後の
[01:13] 直線に向かっていきます。
[01:16] 前は逃げている13番メタルスピード
[01:18] リードは体半分。16番スリールミノンが
[01:20] 追っている。さらには18番高野
[01:22] エルピーダその後ろから12番のかクラシ
[01:24] そして10番エルトンバローズ。大外14
[01:26] 番ミニトランザット横に広がった。今度は
[01:28] 今度は12番のか倉先頭に変わったか。間
[01:32] から5番のファアー。9番エルトン
[01:33] バローズ間から9番のファンダム14番
[01:36] ミディトランザット。え、これアルバム
[01:37] 追い込んでくる7番のキープカルム。
[01:39] しかし10番のエルトンバローズ。
[01:40] エルトンバローズゴ2着は激戦。9番
[01:43] ファンダムか。7番キープカルムか。横に
[01:46] ずらと広がって激戦。
