[00:04] 14番ブーレブ収まってカリン離れます。
[00:08] スタートしました。綺麗に揃いました。7
[00:11] 番のココナッツブラウン後方。さあまずは
[00:14] 9番エリカエクスプレスが高ダッシュ先頭
[00:16] に立ちます。その後ろ8番エラト最内から
[00:19] 5番アンゴラブラック2番手3番手にその
[00:22] 後には13番のルーズソリテールその14
[00:24] 番ブーレブーと広がって1コーナーの
[00:27] カーブです。花に立ったのは9番エリカ
[00:29] エクスプレス。リードは1場新ハ14番
[00:31] ブーレブーが2番手に上がります。8番の
[00:34] エラト3番手ストニ13番ルージ
[00:36] ソリテール4番手5番手に10番
[00:39] フェスティバルヒル内側5番アングラ
[00:40] ブラック並んでいます。半馬審査中段イン
[00:43] コース1番フレミングフープ半馬審査外4
[00:45] 番リラボニートそれから2馬シ外に11番
[00:48] 小が金の空港上面半馬シ打ち3番
[00:51] カテリーナそれから7番ココナッツ
[00:53] ブラウン後方4番手2番ケリフレッド
[00:55] アスク12番ボンドガールそして6番
[00:58] クリノメイという体系で向こう場面の中間
[01:01] を通過3コーナーに向かいます。9番
[01:03] エリカエクスプレス先頭リードは2馬シ
[01:05] です。2番手に14番ブーレブー残り
[01:07] 800号通過59秒1で通過です。うちに
[01:11] は8番のエラト3番手4番手13番ルール
[01:14] ソリテールそれにフェスバルキルがじわっ
[01:16] と接近半馬シ5番のアンゴラブラックが
[01:19] その後ろそれに4番のリラボニートそ11
[01:21] 番小金の空そして後方からじわっと動く7
[01:24] 番のクコナッツブラウン今中段め第4
[01:27] コーナーのカーブさあ9番エリカ
[01:29] エクスプレスが先頭2馬のリード400を
[01:31] 通過14番ブーレブー2番手3番手ルージ
[01:34] ソリテールに外から7番クコナッツ
[01:36] ブラウンが並んできた第4コーナーを
[01:38] オカブ直線コースへさあ逃げる9番エリカ
[01:41] プレス外から7番コダバッツブラウン間
[01:43] 14番ブーレブー11番の空が追ってくる
[01:46] さあ前2と争いから抜けたのはココナッツ
[01:49] ブラブラウンそしてストカー11番この
[01:51] お空内ちはブーレブー2番手争いコナッツ
[01:54] ブラウンゴールイン
[01:57] [大歓声]
[01:57] 7番のココナッツブラウン
[02:00] 見事大砲の重賞波そして安城の北村優手
[02:07] これでJRA全勝重調整派です。
